Transplant Year,Organ,Age Group,N,Graft Survival Rate [95% CI],Patient Survival Rate [95% CI]
1988,Heart/Lung,1-5 Years,1,*,*
1988,Heart/Lung,11-17 Years,6,*,*
1988,Heart/Lung,18-34,31,"54.84 [35.97, 70.26]","54.84 [35.97, 70.26]"
1988,Heart,<1 Year,34,"64.71 [46.30, 78.18]","67.40 [48.88, 80.46]"
1988,Heart,1-5 Years,19,"78.95 [53.19, 91.53]","78.95 [53.19, 91.53]"
1988,Heart,11-17 Years,41,"78.05 [62.06, 87.92]","80.49 [64.75, 89.73]"
1988,Heart,18-34,182,"87.36 [81.60, 91.42]","90.05 [84.68, 93.62]"
1989,Heart/Lung,<1 Year,1,*,*
1989,Heart/Lung,1-5 Years,1,*,*
1989,Heart/Lung,11-17 Years,2,*,*
1989,Heart/Lung,18-34,29,"48.28 [29.47, 64.78]","48.28 [29.47, 64.78]"
1989,Heart,<1 Year,71,"61.85 [49.49, 72.02]","64.21 [51.76, 74.23]"
1989,Heart,1-5 Years,22,"90.91 [68.30, 97.65]","90.91 [68.30, 97.65]"
1989,Heart,11-17 Years,40,"85.00 [69.62, 92.96]","85.00 [69.62, 92.96]"
1989,Heart,18-34,172,"80.20 [73.42, 85.42]","81.22 [74.51, 86.33]"
1990,Heart/Lung,1-5 Years,3,*,*
1990,Heart/Lung,11-17 Years,2,*,*
1990,Heart/Lung,18-34,24,"66.67 [44.28, 81.73]","66.67 [44.28, 81.73]"
1990,Heart,<1 Year,86,"64.90 [53.78, 73.99]","65.70 [54.53, 74.76]"
1990,Heart,1-5 Years,50,"76.00 [61.63, 85.59]","76.00 [61.63, 85.59]"
1990,Heart,11-17 Years,58,"75.86 [62.67, 84.93]","77.44 [64.34, 86.23]"
1990,Heart,18-34,167,"88.02 [82.04, 92.10]","89.11 [83.27, 93.00]"
1991,Heart/Lung,1-5 Years,2,*,*
1991,Heart/Lung,11-17 Years,6,*,*
1991,Heart/Lung,18-34,16,"68.75 [40.46, 85.63]","68.75 [40.46, 85.63]"
1991,Heart,<1 Year,123,"68.17 [59.12, 75.63]","70.38 [61.39, 77.66]"
1991,Heart,1-5 Years,52,"69.18 [54.70, 79.84]","70.86 [56.38, 81.31]"
1991,Heart,11-17 Years,59,"83.05 [70.79, 90.50]","87.66 [75.84, 93.92]"
1991,Heart,18-34,165,"81.82 [75.04, 86.92]","86.37 [80.04, 90.81]"
1992,Heart/Lung,<1 Year,1,*,*
1992,Heart/Lung,1-5 Years,3,*,*
1992,Heart/Lung,11-17 Years,5,*,*
1992,Heart/Lung,18-34,18,"55.56 [30.51, 74.75]","55.56 [30.51, 74.75]"
1992,Heart,<1 Year,88,"70.13 [59.30, 78.59]","71.10 [60.28, 79.47]"
1992,Heart,1-5 Years,59,"72.88 [59.61, 82.42]","74.40 [61.16, 83.70]"
1992,Heart,11-17 Years,56,"87.50 [75.56, 93.84]","90.90 [79.50, 96.11]"
1992,Heart,18-34,164,"77.38 [70.17, 83.06]","78.98 [71.85, 84.49]"
1993,Heart/Lung,1-5 Years,7,*,*
1993,Heart/Lung,11-17 Years,7,*,*
1993,Heart/Lung,18-34,25,"76.00 [54.20, 88.43]","76.00 [54.20, 88.43]"
1993,Heart,<1 Year,106,"64.10 [54.18, 72.42]","65.64 [55.69, 73.87]"
1993,Heart,1-5 Years,51,"74.51 [60.19, 84.32]","76.42 [62.22, 85.86]"
1993,Heart,11-17 Years,73,"86.28 [76.00, 92.37]","87.53 [77.40, 93.31]"
1993,Heart,18-34,188,"82.41 [76.17, 87.16]","83.85 [77.72, 88.42]"
1994,Heart/Lung,1-5 Years,5,*,*
1994,Heart/Lung,11-17 Years,7,*,*
1994,Heart/Lung,18-34,22,"81.82 [58.53, 92.76]","81.82 [58.53, 92.76]"
1994,Heart,<1 Year,86,"66.28 [55.25, 75.20]","68.12 [57.04, 76.91]"
1994,Heart,1-5 Years,61,"65.46 [52.09, 75.93]","68.25 [54.81, 78.45]"
1994,Heart,11-17 Years,68,"79.41 [67.73, 87.25]","80.65 [69.02, 88.28]"
1994,Heart,18-34,172,"86.63 [80.57, 90.90]","86.63 [80.57, 90.90]"
1995,Heart/Lung,<1 Year,2,*,*
1995,Heart/Lung,1-5 Years,1,*,*
1995,Heart/Lung,11-17 Years,7,*,*
1995,Heart/Lung,18-34,20,"85.00 [60.38, 94.90]","85.00 [60.38, 94.90]"
1995,Heart,<1 Year,88,"75.00 [64.56, 82.77]","76.07 [65.70, 83.69]"
1995,Heart,1-5 Years,56,"83.93 [71.39, 91.29]","85.48 [73.06, 92.46]"
1995,Heart,11-17 Years,74,"78.38 [67.16, 86.15]","78.38 [67.16, 86.15]"
1995,Heart,18-34,164,"90.19 [84.49, 93.87]","90.19 [84.49, 93.87]"
1996,Heart/Lung,1-5 Years,5,*,*
1996,Heart/Lung,11-17 Years,4,*,*
1996,Heart/Lung,18-34,11,*,*
1996,Heart,<1 Year,74,"82.28 [71.44, 89.31]","83.68 [73.04, 90.38]"
1996,Heart,1-5 Years,52,"67.15 [52.58, 78.14]","67.15 [52.58, 78.14]"
1996,Heart,11-17 Years,92,"88.98 [80.48, 93.91]","89.97 [81.60, 94.65]"
1996,Heart,18-34,171,"88.83 [83.05, 92.73]","90.48 [84.93, 94.06]"
1997,Heart/Lung,1-5 Years,3,*,*
1997,Heart/Lung,18-34,21,"57.14 [33.80, 74.92]","61.90 [38.08, 78.80]"
1997,Heart,<1 Year,92,"74.98 [64.80, 82.61]","75.93 [65.79, 83.44]"
1997,Heart,1-5 Years,61,"86.80 [75.32, 93.17]","90.03 [79.14, 95.39]"
1997,Heart,11-17 Years,78,"85.76 [75.76, 91.85]","85.76 [75.76, 91.85]"
1997,Heart,18-34,171,"82.97 [76.43, 87.84]","82.97 [76.43, 87.84]"
1998,Heart/Lung,<1 Year,4,*,*
1998,Heart/Lung,1-5 Years,2,*,*
1998,Heart/Lung,11-17 Years,1,*,*
1998,Heart/Lung,18-34,12,*,*
1998,Heart,<1 Year,80,"79.60 [68.86, 86.98]","79.60 [68.86, 86.98]"
1998,Heart,1-5 Years,53,"84.68 [71.69, 92.03]","86.31 [73.41, 93.23]"
1998,Heart,11-17 Years,83,"91.57 [83.12, 95.89]","91.57 [83.12, 95.89]"
1998,Heart,18-34,156,"82.69 [75.78, 87.79]","83.27 [76.41, 88.29]"
1999,Heart/Lung,<1 Year,1,*,*
1999,Heart/Lung,1-5 Years,4,*,*
1999,Heart/Lung,11-17 Years,2,*,*
1999,Heart/Lung,18-34,11,*,*
1999,Heart,<1 Year,58,"79.27 [66.39, 87.66]","82.45 [69.82, 90.15]"
1999,Heart,1-5 Years,64,"79.66 [67.56, 87.64]","79.66 [67.56, 87.64]"
1999,Heart,11-17 Years,84,"84.52 [74.85, 90.70]","86.78 [77.40, 92.45]"
1999,Heart,18-34,166,"81.33 [74.52, 86.48]","81.85 [75.07, 86.94]"
2000,Heart/Lung,<1 Year,1,*,*
2000,Heart/Lung,1-5 Years,1,*,*
2000,Heart/Lung,11-17 Years,4,*,*
2000,Heart/Lung,18-34,13,"76.92 [44.21, 91.91]","76.92 [44.21, 91.91]"
2000,Heart,<1 Year,72,"83.33 [72.52, 90.17]","83.33 [72.52, 90.17]"
2000,Heart,1-5 Years,53,"92.45 [81.13, 97.10]","92.45 [81.13, 97.10]"
2000,Heart,11-17 Years,86,"92.92 [84.93, 96.76]","92.92 [84.93, 96.76]"
2000,Heart,18-34,154,"85.62 [78.98, 90.29]","85.68 [79.07, 90.33]"
2001,Heart/Lung,1-5 Years,1,*,*
2001,Heart/Lung,11-17 Years,4,*,*
2001,Heart/Lung,18-34,5,*,*
2001,Heart,<1 Year,64,"82.81 [71.12, 90.09]","82.81 [71.12, 90.09]"
2001,Heart,1-5 Years,81,"85.03 [75.14, 91.21]","86.28 [76.59, 92.16]"
2001,Heart,11-17 Years,84,"84.52 [74.85, 90.70]","86.68 [77.23, 92.39]"
2001,Heart,18-34,178,"86.42 [80.43, 90.69]","87.54 [81.69, 91.61]"
2002,Heart/Lung,<1 Year,1,*,*
2002,Heart/Lung,11-17 Years,5,*,*
2002,Heart/Lung,18-34,9,*,*
2002,Heart,<1 Year,70,"87.03 [76.55, 93.03]","89.76 [79.70, 94.98]"
2002,Heart,1-5 Years,74,"85.14 [74.77, 91.48]","86.33 [76.09, 92.40]"
2002,Heart,11-17 Years,88,"85.04 [75.63, 91.03]","85.14 [75.79, 91.09]"
2002,Heart,18-34,186,"85.44 [79.49, 89.78]","87.42 [81.68, 91.46]"
2003,Heart/Lung,11-17 Years,4,*,*
2003,Heart/Lung,18-34,6,*,*
2003,Heart,<1 Year,81,"82.61 [72.41, 89.31]","82.72 [72.57, 89.38]"
2003,Heart,1-5 Years,45,"86.67 [72.71, 93.78]","86.67 [72.71, 93.78]"
2003,Heart,11-17 Years,91,"91.21 [83.19, 95.50]","92.29 [84.52, 96.25]"
2003,Heart,18-34,181,"86.71 [80.83, 90.89]","87.20 [81.37, 91.31]"
2004,Heart/Lung,1-5 Years,2,*,*
2004,Heart/Lung,11-17 Years,3,*,*
2004,Heart/Lung,18-34,12,*,*
2004,Heart,<1 Year,71,"80.28 [68.99, 87.81]","80.28 [68.99, 87.81]"
2004,Heart,1-5 Years,71,"85.92 [75.40, 92.16]","88.65 [78.58, 94.15]"
2004,Heart,11-17 Years,87,"95.32 [88.01, 98.22]","95.32 [88.01, 98.22]"
2004,Heart,18-34,194,"85.05 [79.21, 89.36]","86.44 [80.73, 90.56]"
2005,Heart/Lung,11-17 Years,4,*,*
2005,Heart/Lung,18-34,13,"84.62 [51.22, 95.91]","84.62 [51.22, 95.91]"
2005,Heart,<1 Year,81,"80.25 [69.80, 87.40]","80.25 [69.80, 87.40]"
2005,Heart,1-5 Years,66,"80.19 [68.34, 87.99]","82.99 [71.38, 90.20]"
2005,Heart,11-17 Years,100,"86.80 [78.35, 92.12]","86.78 [78.32, 92.10]"
2005,Heart,18-34,223,"84.62 [79.15, 88.76]","85.06 [79.64, 89.14]"
2006,Heart/Lung,<1 Year,3,*,*
2006,Heart/Lung,1-5 Years,1,*,*
2006,Heart/Lung,11-17 Years,3,*,*
2006,Heart/Lung,18-34,3,*,*
2006,Heart,<1 Year,89,"77.41 [67.20, 84.79]","77.41 [67.20, 84.79]"
2006,Heart,1-5 Years,71,"91.55 [82.15, 96.11]","91.55 [82.15, 96.11]"
2006,Heart,11-17 Years,99,"94.90 [88.18, 97.84]","94.90 [88.18, 97.84]"
2006,Heart,18-34,212,"86.17 [80.71, 90.17]","86.22 [80.78, 90.21]"
2007,Heart/Lung,<1 Year,1,*,*
2007,Heart/Lung,1-5 Years,1,*,*
2007,Heart/Lung,11-17 Years,1,*,*
2007,Heart/Lung,18-34,9,*,*
2007,Heart,<1 Year,87,"80.40 [70.37, 87.33]","80.40 [70.37, 87.33]"
2007,Heart,1-5 Years,73,"90.35 [80.82, 95.28]","91.64 [82.33, 96.16]"
2007,Heart,11-17 Years,99,"92.88 [85.64, 96.54]","96.88 [90.62, 98.98]"
2007,Heart,18-34,201,"81.06 [74.92, 85.84]","81.99 [75.92, 86.66]"
2008,Heart/Lung,1-5 Years,2,*,*
2008,Heart/Lung,11-17 Years,3,*,*
2008,Heart/Lung,18-34,8,*,*
2008,Heart,<1 Year,99,"80.77 [71.53, 87.28]","81.62 [72.42, 88.00]"
2008,Heart,1-5 Years,101,"89.79 [81.84, 94.37]","90.72 [82.92, 95.06]"
2008,Heart,11-17 Years,92,"89.03 [80.56, 93.94]","90.07 [81.79, 94.71]"
2008,Heart,18-34,184,"89.60 [84.18, 93.24]","89.63 [84.22, 93.26]"
2009,Heart/Lung,1-5 Years,1,*,*
2009,Heart/Lung,11-17 Years,1,*,*
2009,Heart/Lung,18-34,9,*,*
2009,Heart,<1 Year,116,"84.48 [76.51, 89.93]","84.48 [76.51, 89.93]"
2009,Heart,1-5 Years,76,"88.02 [78.24, 93.58]","88.02 [78.24, 93.58]"
2009,Heart,11-17 Years,98,"91.77 [84.21, 95.80]","93.75 [86.61, 97.15]"
2009,Heart,18-34,181,"91.13 [85.94, 94.47]","91.14 [85.94, 94.47]"
2010,Heart/Lung,1-5 Years,1,*,*
2010,Heart/Lung,18-34,14,"85.71 [53.94, 96.22]","85.71 [53.94, 96.22]"
2010,Heart,<1 Year,104,"90.38 [82.87, 94.71]","91.29 [83.93, 95.37]"
2010,Heart,1-5 Years,74,"91.87 [82.80, 96.26]","91.87 [82.80, 96.26]"
2010,Heart,11-17 Years,107,"93.45 [86.75, 96.82]","93.45 [86.75, 96.82]"
2010,Heart,18-34,201,"97.51 [94.12, 98.95]","98.00 [94.75, 99.24]"
2011,Heart/Lung,11-17 Years,2,*,*
2011,Heart/Lung,18-34,4,*,*
2011,Heart,<1 Year,109,"87.05 [79.11, 92.12]","88.82 [81.14, 93.49]"
2011,Heart,1-5 Years,85,"96.43 [89.34, 98.83]","97.62 [90.81, 99.40]"
2011,Heart,11-17 Years,114,"92.93 [86.37, 96.40]","92.93 [86.37, 96.40]"
2011,Heart,18-34,183,"92.86 [88.03, 95.79]","94.48 [89.98, 96.99]"
2012,Heart/Lung,11-17 Years,2,*,*
2012,Heart/Lung,18-34,7,*,*
2012,Heart,<1 Year,106,"87.62 [79.62, 92.62]","87.66 [79.69, 92.64]"
2012,Heart,1-5 Years,84,"91.62 [83.23, 95.92]","91.62 [83.23, 95.92]"
2012,Heart,11-17 Years,100,"99.00 [93.11, 99.86]","99.00 [93.11, 99.86]"
2012,Heart,18-34,189,"90.97 [85.88, 94.29]","92.03 [87.14, 95.12]"
2013,Heart/Lung,1-5 Years,2,*,*
2013,Heart/Lung,11-17 Years,3,*,*
2013,Heart/Lung,18-34,2,*,*
2013,Heart,<1 Year,117,"88.89 [81.64, 93.39]","88.89 [81.64, 93.39]"
2013,Heart,1-5 Years,82,"95.04 [87.32, 98.11]","95.04 [87.32, 98.11]"
2013,Heart,11-17 Years,130,"97.69 [93.02, 99.25]","98.46 [93.99, 99.61]"
2013,Heart,18-34,205,"90.18 [85.20, 93.55]","90.65 [85.73, 93.93]"
2014,Heart/Lung,11-17 Years,4,*,*
2014,Heart/Lung,18-34,8,*,*
2014,Heart,<1 Year,120,"82.45 [74.37, 88.19]","83.20 [75.18, 88.82]"
2014,Heart,1-5 Years,97,"91.72 [84.12, 95.77]","91.72 [84.12, 95.77]"
2014,Heart,11-17 Years,120,"94.16 [88.14, 97.17]","94.16 [88.14, 97.17]"
2014,Heart,18-34,208,"92.31 [87.75, 95.22]","92.77 [88.29, 95.58]"
2015,Heart/Lung,11-17 Years,3,*,*
2015,Heart/Lung,18-34,2,*,*
2015,Heart,<1 Year,126,"91.24 [84.73, 95.05]","91.24 [84.73, 95.05]"
2015,Heart,1-5 Years,106,"93.36 [86.57, 96.78]","93.36 [86.57, 96.78]"
2015,Heart,11-17 Years,128,"96.88 [91.89, 98.82]","96.88 [91.89, 98.82]"
2015,Heart,18-34,193,"92.22 [87.43, 95.24]","94.22 [89.81, 96.76]"
2016,Heart/Lung,11-17 Years,1,*,*
2016,Heart/Lung,18-34,6,*,*
2016,Heart,<1 Year,130,"93.06 [87.10, 96.33]","93.06 [87.10, 96.33]"
2016,Heart,1-5 Years,100,"93.99 [87.11, 97.25]","93.99 [87.11, 97.25]"
2016,Heart,11-17 Years,146,"95.89 [91.08, 98.13]","96.57 [91.96, 98.56]"
2016,Heart,18-34,258,"94.57 [91.01, 96.75]","94.94 [91.45, 97.03]"
2017,Heart/Lung,11-17 Years,1,*,*
2017,Heart/Lung,18-34,7,*,*
2017,Heart,<1 Year,111,"90.99 [83.90, 95.05]","91.89 [85.00, 95.70]"
2017,Heart,1-5 Years,105,"93.23 [86.32, 96.71]","94.18 [87.51, 97.34]"
2017,Heart,11-17 Years,154,"93.47 [88.21, 96.43]","93.47 [88.21, 96.43]"
2017,Heart,18-34,263,"93.52 [89.78, 95.92]","93.88 [90.21, 96.21]"
2018,Heart/Lung,<1 Year,1,*,*
2018,Heart/Lung,1-5 Years,1,*,*
2018,Heart/Lung,11-17 Years,3,*,*
2018,Heart/Lung,18-34,7,*,*
2018,Heart,<1 Year,119,"90.76 [83.93, 94.77]","90.76 [83.93, 94.77]"
2018,Heart,1-5 Years,107,"86.74 [78.64, 91.93]","86.74 [78.64, 91.93]"
2018,Heart,11-17 Years,165,"94.54 [89.77, 97.12]","95.73 [91.25, 97.94]"
2018,Heart,18-34,259,"93.43 [89.64, 95.86]","94.16 [90.51, 96.44]"
2019,Heart/Lung,1-5 Years,1,*,*
2019,Heart/Lung,11-17 Years,1,*,*
2019,Heart/Lung,18-34,9,*,*
2019,Heart,<1 Year,133,"90.98 [84.66, 94.77]","90.98 [84.66, 94.77]"
2019,Heart,1-5 Years,111,"90.84 [83.65, 94.97]","90.84 [83.65, 94.97]"
2019,Heart,11-17 Years,165,"95.15 [90.54, 97.55]","95.15 [90.54, 97.55]"
2019,Heart,18-34,306,"94.44 [91.21, 96.51]","94.44 [91.21, 96.51]"
2020,Heart/Lung,11-17 Years,4,*,*
2020,Heart/Lung,18-34,8,*,*
2020,Heart,<1 Year,124,"89.52 [82.63, 93.77]","89.52 [82.63, 93.77]"
2020,Heart,1-5 Years,98,"89.76 [81.81, 94.36]","90.70 [82.88, 95.05]"
2020,Heart,11-17 Years,150,"96.00 [91.31, 98.18]","96.65 [92.14, 98.59]"
2020,Heart,18-34,286,"92.98 [89.33, 95.41]","93.31 [89.71, 95.68]"
2021,Heart/Lung,1-5 Years,1,*,*
2021,Heart/Lung,11-17 Years,1,*,*
2021,Heart/Lung,18-34,9,*,*
2021,Heart,<1 Year,109,"87.12 [79.22, 92.16]","87.12 [79.22, 92.16]"
2021,Heart,1-5 Years,104,"93.08 [86.00, 96.64]","93.08 [86.00, 96.64]"
2021,Heart,11-17 Years,177,"93.77 [89.02, 96.50]","93.77 [89.02, 96.50]"
2021,Heart,18-34,322,"95.34 [92.39, 97.16]","95.34 [92.39, 97.16]"
Overall,Heart/Lung,<1 Year,16,*,*
Overall,Heart/Lung,1-5 Years,52,"59.62 [45.06, 71.49]","60.94 [46.23, 72.76]"
Overall,Heart/Lung,11-17 Years,106,"80.19 [71.25, 86.60]","81.03 [72.16, 87.32]"
Overall,Heart/Lung,18-34,410,"69.51 [64.81, 73.72]","69.94 [65.24, 74.13]"
Overall,Heart,<1 Year,3224,"81.71 [80.32, 83.00]","82.42 [81.06, 83.70]"
Overall,Heart,1-5 Years,2464,"87.10 [85.70, 88.36]","87.87 [86.51, 89.10]"
Overall,Heart,11-17 Years,3386,"91.28 [90.27, 92.18]","92.04 [91.08, 92.91]"
Overall,Heart,18-34,6805,"88.65 [87.87, 89.38]","89.46 [88.70, 90.16]"